date_heure,consommation_brute_electricite_rte
2013-07-01 00:00:00+00:00,5235.354166666667
2013-07-02 00:00:00+00:00,5400.020833333333
2013-07-03 00:00:00+00:00,5432.708333333333
2013-07-04 00:00:00+00:00,5426.6875
2013-07-05 00:00:00+00:00,5426.270833333333
2013-07-06 00:00:00+00:00,4759.458333333333
2013-07-07 00:00:00+00:00,4401.145833333333
2013-07-08 00:00:00+00:00,5177.708333333333
2013-07-09 00:00:00+00:00,5346.333333333333
2013-07-10 00:00:00+00:00,5421.229166666667
2013-07-11 00:00:00+00:00,5359.541666666667
2013-07-12 00:00:00+00:00,5261.8125
2013-07-13 00:00:00+00:00,4751.0625
2013-07-14 00:00:00+00:00,4351.770833333333
2013-07-15 00:00:00+00:00,5166.395833333333
2013-07-16 00:00:00+00:00,5223.145833333333
2013-07-17 00:00:00+00:00,5226.145833333333
2013-07-18 00:00:00+00:00,5262.6875
2013-07-19 00:00:00+00:00,5234.416666666667
2013-07-20 00:00:00+00:00,4665.708333333333
2013-07-21 00:00:00+00:00,4353.166666666667
2013-07-22 00:00:00+00:00,5121.854166666667
2013-07-23 00:00:00+00:00,5337.75
2013-07-24 00:00:00+00:00,5246.0625
2013-07-25 00:00:00+00:00,5251.083333333333
2013-07-26 00:00:00+00:00,5113.5
2013-07-27 00:00:00+00:00,4492.354166666667
2013-07-28 00:00:00+00:00,4131.75
2013-07-29 00:00:00+00:00,4759.708333333333
2013-07-30 00:00:00+00:00,4860.770833333333
2013-07-31 00:00:00+00:00,4789.958333333333
2013-08-01 00:00:00+00:00,4882.4375
2013-08-02 00:00:00+00:00,4798.9375
2013-08-03 00:00:00+00:00,4293.958333333333
2013-08-04 00:00:00+00:00,4019.9791666666665
2013-08-05 00:00:00+00:00,4460.333333333333
2013-08-06 00:00:00+00:00,4504.125
2013-08-07 00:00:00+00:00,4469.25
2013-08-08 00:00:00+00:00,4401.125
2013-08-09 00:00:00+00:00,4407.375
2013-08-10 00:00:00+00:00,4030.0
2013-08-11 00:00:00+00:00,3831.3958333333335
2013-08-12 00:00:00+00:00,4316.395833333333
2013-08-13 00:00:00+00:00,4374.145833333333
2013-08-14 00:00:00+00:00,4419.458333333333
2013-08-15 00:00:00+00:00,4107.541666666667
2013-08-16 00:00:00+00:00,4338.666666666667
2013-08-17 00:00:00+00:00,4219.25
2013-08-18 00:00:00+00:00,4006.7083333333335
2013-08-19 00:00:00+00:00,4467.895833333333
2013-08-20 00:00:00+00:00,4657.916666666667
2013-08-21 00:00:00+00:00,4731.666666666667
2013-08-22 00:00:00+00:00,4800.0
2013-08-23 00:00:00+00:00,4816.520833333333
2013-08-24 00:00:00+00:00,4497.041666666667
2013-08-25 00:00:00+00:00,4182.083333333333
2013-08-26 00:00:00+00:00,4885.854166666667
2013-08-27 00:00:00+00:00,5074.520833333333
2013-08-28 00:00:00+00:00,5133.645833333333
2013-08-29 00:00:00+00:00,5219.416666666667
2013-08-30 00:00:00+00:00,5128.5
2013-08-31 00:00:00+00:00,4526.145833333333
2013-09-01 00:00:00+00:00,4210.0625
2013-09-02 00:00:00+00:00,5057.854166666667
2013-09-03 00:00:00+00:00,5344.5
2013-09-04 00:00:00+00:00,5422.3125
2013-09-05 00:00:00+00:00,5393.208333333333
2013-09-06 00:00:00+00:00,5311.416666666667
2013-09-07 00:00:00+00:00,4661.291666666667
2013-09-08 00:00:00+00:00,4353.416666666667
2013-09-09 00:00:00+00:00,5184.729166666667
2013-09-10 00:00:00+00:00,5390.833333333333
2013-09-11 00:00:00+00:00,5555.416666666667
2013-09-12 00:00:00+00:00,5570.895833333333
2013-09-13 00:00:00+00:00,5593.125
2013-09-14 00:00:00+00:00,4979.791666666667
2013-09-15 00:00:00+00:00,4609.166666666667
2013-09-16 00:00:00+00:00,5377.958333333333
2013-09-17 00:00:00+00:00,5742.291666666667
2013-09-18 00:00:00+00:00,5676.333333333333
2013-09-19 00:00:00+00:00,5681.583333333333
2013-09-20 00:00:00+00:00,5481.958333333333
2013-09-21 00:00:00+00:00,4843.395833333333
2013-09-22 00:00:00+00:00,4481.020833333333
2013-09-23 00:00:00+00:00,5305.270833333333
2013-09-24 00:00:00+00:00,5467.8125
2013-09-25 00:00:00+00:00,5481.895833333333
2013-09-26 00:00:00+00:00,5484.5
2013-09-27 00:00:00+00:00,5480.229166666667
2013-09-28 00:00:00+00:00,4881.020833333333
2013-09-29 00:00:00+00:00,4556.3125
2013-09-30 00:00:00+00:00,5351.520833333333
2013-10-01 00:00:00+00:00,5609.541666666667
2013-10-02 00:00:00+00:00,5691.666666666667
2013-10-03 00:00:00+00:00,5634.166666666667
2013-10-04 00:00:00+00:00,5574.041666666667
2013-10-05 00:00:00+00:00,4932.604166666667
2013-10-06 00:00:00+00:00,4604.1875
